N	blockSize	algorithm	layout	dim	k	privCopies	itemsPerThread	seed	totalTime	normalizedTime
4M	256	cuda_fake	aos	16	256	1	1	2	3.99151	0.0594782
4M	256	cuda_fake	aos	16	256	1	1	3	3.98964	0.0594502
4M	256	cuda_fake	aos	16	256	1	1	4	3.98817	0.0594283
4M	256	cuda_fake	aos	16	256	1	1	5	3.99016	0.0594579
4M	256	cuda_fake	aos	16	256	2	1	1	4.83551	0.0720546
4M	256	cuda_fake	aos	16	256	2	1	2	4.83362	0.0720266
4M	256	cuda_fake	aos	16	256	2	1	3	4.83187	0.0720005
4M	256	cuda_fake	aos	16	256	2	1	4	4.83657	0.0720705
4M	256	cuda_fake	aos	16	256	2	1	5	4.83439	0.072038
4M	256	cuda_fake	aos	16	256	4	1	1	4.83387	0.0720302
4M	256	cuda_fake	aos	16	256	4	1	2	4.83523	0.0720505
4M	256	cuda_fake	aos	16	256	4	1	3	4.83372	0.0720281
4M	256	cuda_fake	aos	16	256	4	1	4	4.83431	0.0720368
4M	256	cuda_fake	aos	16	256	4	1	5	4.83468	0.0720423
4M	256	cuda_fake	aos	16	256	8	1	1	4.83385	0.07203
4M	256	cuda_fake	aos	16	256	8	1	2	4.83426	0.072036
4M	256	cuda_fake	aos	16	256	8	1	3	4.83624	0.0720657
4M	256	cuda_fake	aos	16	256	8	1	4	4.83518	0.0720498
4M	256	cuda_fake	aos	16	256	8	1	5	4.83461	0.0720412
4M	256	cuda_fake	aos	16	256	16	1	1	4.84375	0.0721775
4M	256	cuda_fake	aos	16	256	16	1	2	4.83452	0.0720399
4M	256	cuda_fake	aos	16	256	16	1	3	4.83669	0.0720723
4M	256	cuda_fake	aos	16	256	16	1	4	4.83431	0.0720368
4M	256	cuda_fake	aos	16	256	16	1	5	4.83579	0.0720589
4M	256	cuda_fake	aos	16	256	32	1	1	4.8364	0.0720679
4M	256	cuda_fake	aos	16	256	32	1	2	4.83487	0.0720451
4M	256	cuda_fake	aos	16	256	32	1	3	4.83789	0.0720902
4M	256	cuda_fake	aos	16	256	32	1	4	4.8352	0.07205
4M	256	cuda_fake	aos	16	256	32	1	5	4.83573	0.072058
4M	256	cuda_fake	aos	16	256	64	1	1	4.83655	0.0720702
4M	256	cuda_fake	aos	16	256	64	1	2	4.83833	0.0720967
4M	256	cuda_fake	aos	16	256	64	1	3	4.83894	0.0721058
4M	256	cuda_fake	aos	16	256	64	1	4	4.83671	0.0720726
4M	256	cuda_fake	aos	16	256	64	1	5	4.83805	0.0720925
4M	256	cuda_fake	aos	16	1024	1	1	1	3.89675	0.0580661
4M	256	cuda_fake	aos	16	1024	1	1	2	3.89516	0.0580424
4M	256	cuda_fake	aos	16	1024	1	1	3	3.89676	0.0580662
4M	256	cuda_fake	aos	16	1024	1	1	4	3.89571	0.0580506
4M	256	cuda_fake	aos	16	1024	1	1	5	3.89688	0.0580681
4M	256	cuda_fake	aos	16	1024	2	1	1	4.83422	0.0720355
4M	256	cuda_fake	aos	16	1024	2	1	2	4.83417	0.0720347
4M	256	cuda_fake	aos	16	1024	2	1	3	4.83339	0.0720231
4M	256	cuda_fake	aos	16	1024	2	1	4	4.83415	0.0720344
4M	256	cuda_fake	aos	16	1024	2	1	5	4.83311	0.072019
4M	256	cuda_fake	aos	16	1024	4	1	1	4.83287	0.0720153
4M	256	cuda_fake	aos	16	1024	4	1	2	4.83492	0.072046
4M	256	cuda_fake	aos	16	1024	4	1	3	4.8344	0.0720382
4M	256	cuda_fake	aos	16	1024	4	1	4	4.83472	0.072043
4M	256	cuda_fake	aos	16	1024	4	1	5	4.83596	0.0720615
4M	256	cuda_fake	aos	16	1024	8	1	1	4.83603	0.0720624
4M	256	cuda_fake	aos	16	1024	8	1	2	4.83553	0.0720549
4M	256	cuda_fake	aos	16	1024	8	1	3	4.8357	0.0720575
4M	256	cuda_fake	aos	16	1024	8	1	4	4.8368	0.0720739
4M	256	cuda_fake	aos	16	1024	8	1	5	4.83639	0.0720679
4M	256	cuda_fake	aos	16	1024	16	1	1	4.83612	0.0720639
4M	256	cuda_fake	aos	16	1024	16	1	2	4.83966	0.0721166
4M	256	cuda_fake	aos	16	1024	16	1	3	4.83797	0.0720913
4M	256	cuda_fake	aos	16	1024	16	1	4	4.84599	0.0722108
4M	256	cuda_fake	aos	16	1024	16	1	5	4.83753	0.0720848
4M	256	cuda_fake	aos	16	1024	32	1	1	4.84021	0.0721247
4M	256	cuda_fake	aos	16	1024	32	1	2	4.83911	0.0721083
4M	256	cuda_fake	aos	16	1024	32	1	3	4.83847	0.0720988
4M	256	cuda_fake	aos	16	1024	32	1	4	4.83919	0.0721095
4M	256	cuda_fake	aos	16	1024	32	1	5	4.83879	0.0721036
4M	256	cuda_fake	aos	16	1024	64	1	1	4.85413	0.0723322
4M	256	cuda_fake	aos	16	1024	64	1	2	4.85582	0.0723574
4M	256	cuda_fake	aos	16	1024	64	1	3	4.85377	0.0723268
4M	256	cuda_fake	aos	16	1024	64	1	4	4.8556	0.072354
4M	256	cuda_fake	aos	16	1024	64	1	5	4.85403	0.0723307
4M	256	cuda_fake	aos	16	4096	1	1	1	3.87345	0.0577188
4M	256	cuda_fake	aos	16	4096	1	1	2	3.87365	0.0577218
4M	256	cuda_fake	aos	16	4096	1	1	3	3.87273	0.0577082
4M	256	cuda_fake	aos	16	4096	1	1	4	3.87426	0.057731
4M	256	cuda_fake	aos	16	4096	1	1	5	3.87379	0.0577239
4M	256	cuda_fake	aos	16	4096	2	1	1	4.84005	0.0721224
4M	256	cuda_fake	aos	16	4096	2	1	2	4.83724	0.0720805
4M	256	cuda_fake	aos	16	4096	2	1	3	4.83643	0.0720685
4M	256	cuda_fake	aos	16	4096	2	1	4	4.8363	0.0720664
4M	256	cuda_fake	aos	16	4096	2	1	5	4.83706	0.0720779
4M	256	cuda_fake	aos	16	4096	4	1	1	4.83914	0.0721088
4M	256	cuda_fake	aos	16	4096	4	1	2	4.83782	0.0720891
4M	256	cuda_fake	aos	16	4096	4	1	3	4.83772	0.0720877
4M	256	cuda_fake	aos	16	4096	4	1	4	4.83901	0.0721068
4M	256	cuda_fake	aos	16	4096	4	1	5	4.83873	0.0721028
4M	256	cuda_fake	aos	16	4096	8	1	1	4.83984	0.0721193
4M	256	cuda_fake	aos	16	4096	8	1	2	4.84119	0.0721393
4M	256	cuda_fake	aos	16	4096	8	1	3	4.83903	0.0721071
4M	256	cuda_fake	aos	16	4096	8	1	4	4.84055	0.0721298
4M	256	cuda_fake	aos	16	4096	8	1	5	4.84092	0.0721353
4M	256	cuda_fake	aos	16	4096	16	1	1	4.85776	0.0723862
4M	256	cuda_fake	aos	16	4096	16	1	2	4.85529	0.0723494
4M	256	cuda_fake	aos	16	4096	16	1	3	4.8553	0.0723496
4M	256	cuda_fake	aos	16	4096	16	1	4	4.85557	0.0723537
4M	256	cuda_fake	aos	16	4096	16	1	5	4.85571	0.0723556
4M	256	cuda_fake	aos	16	4096	32	1	1	4.87858	0.0726966
4M	256	cuda_fake	aos	16	4096	32	1	2	4.87853	0.0726958
4M	256	cuda_fake	aos	16	4096	32	1	3	4.87742	0.0726792
4M	256	cuda_fake	aos	16	4096	32	1	4	4.8792	0.0727057
4M	256	cuda_fake	aos	16	4096	32	1	5	4.87994	0.0727168
4M	256	cuda_fake	aos	16	4096	64	1	1	4.92769	0.0734283
4M	256	cuda_fake	aos	16	4096	64	1	2	4.92688	0.0734162
4M	256	cuda_fake	aos	16	4096	64	1	3	4.92601	0.0734033
4M	256	cuda_fake	aos	16	4096	64	1	4	4.92682	0.0734153
4M	256	cuda_fake	aos	16	4096	64	1	5	4.92842	0.0734392
4M	256	cuda_fake	aos	20	16	1	1	1	29.8848	0.356255
4M	256	cuda_fake	aos	20	16	1	1	2	29.8782	0.356176
4M	256	cuda_fake	aos	20	16	1	1	3	29.8739	0.356125
4M	256	cuda_fake	aos	20	16	1	1	4	29.8817	0.356218
4M	256	cuda_fake	aos	20	16	1	1	5	29.8811	0.35621
4M	256	cuda_fake	aos	20	16	2	1	1	15.856	0.189018
4M	256	cuda_fake	aos	20	16	2	1	2	15.8315	0.188726
4M	256	cuda_fake	aos	20	16	2	1	3	15.8479	0.188922
4M	256	cuda_fake	aos	20	16	2	1	4	15.8345	0.188762
4M	256	cuda_fake	aos	20	16	2	1	5	15.8371	0.188793
4M	256	cuda_fake	aos	20	16	4	1	1	7.94866	0.0947554
4M	256	cuda_fake	aos	20	16	4	1	2	7.95191	0.0947942
4M	256	cuda_fake	aos	20	16	4	1	3	7.93592	0.0946035
4M	256	cuda_fake	aos	20	16	4	1	4	7.95577	0.0948401
4M	256	cuda_fake	aos	20	16	4	1	5	7.94895	0.0947588
4M	256	cuda_fake	aos	20	16	8	1	1	7.49521	0.0893499
4M	256	cuda_fake	aos	20	16	8	1	2	7.50023	0.0894097
4M	256	cuda_fake	aos	20	16	8	1	3	8.17909	0.0975024
4M	256	cuda_fake	aos	20	16	8	1	4	8.18611	0.097586
4M	256	cuda_fake	aos	20	16	8	1	5	8.18871	0.097617
4M	256	cuda_fake	aos	20	16	16	1	1	6.03475	0.0719398
4M	256	cuda_fake	aos	20	16	16	1	2	6.03462	0.0719383
4M	256	cuda_fake	aos	20	16	16	1	3	6.03278	0.0719163
4M	256	cuda_fake	aos	20	16	16	1	4	6.03443	0.0719361
4M	256	cuda_fake	aos	20	16	16	1	5	6.03496	0.0719424
4M	256	cuda_fake	aos	20	16	32	1	1	6.03546	0.0719483
4M	256	cuda_fake	aos	20	16	32	1	2	6.03438	0.0719354
4M	256	cuda_fake	aos	20	16	32	1	3	6.03436	0.0719352
4M	256	cuda_fake	aos	20	16	32	1	4	6.0357	0.0719511
4M	256	cuda_fake	aos	20	16	32	1	5	6.03469	0.0719391
4M	256	cuda_fake	aos	20	16	64	1	1	6.03757	0.0719734
