N	blockSize	algorithm	layout	dim	k	privCopies	itemsPerThread	seed	totalTime	normalizedTime
8M	256	cuda_fake	aos	16	64	1	1	3	3.26311	0.0243121
8M	256	cuda_fake	aos	16	64	1	1	4	3.26355	0.0243153
8M	256	cuda_fake	aos	16	64	1	1	5	3.2611	0.0242971
8M	256	cuda_fake	aos	16	64	2	1	1	1.6419	0.0122331
8M	256	cuda_fake	aos	16	64	2	1	2	1.56789	0.0116817
8M	256	cuda_fake	aos	16	64	2	1	3	1.56738	0.0116779
8M	256	cuda_fake	aos	16	64	2	1	4	1.56772	0.0116804
8M	256	cuda_fake	aos	16	64	2	1	5	1.56729	0.0116772
8M	256	cuda_fake	aos	16	64	4	1	1	1.5675	0.0116788
8M	256	cuda_fake	aos	16	64	4	1	2	1.56836	0.0116852
8M	256	cuda_fake	aos	16	64	4	1	3	1.56867	0.0116875
8M	256	cuda_fake	aos	16	64	4	1	4	1.56821	0.0116841
8M	256	cuda_fake	aos	16	64	4	1	5	1.5679	0.0116818
8M	256	cuda_fake	aos	16	64	8	1	1	1.28073	0.00954217
8M	256	cuda_fake	aos	16	64	8	1	2	1.28074	0.00954228
8M	256	cuda_fake	aos	16	64	8	1	3	1.28014	0.00953776
8M	256	cuda_fake	aos	16	64	8	1	4	1.2805	0.00954048
8M	256	cuda_fake	aos	16	64	8	1	5	1.27929	0.00953148
8M	256	cuda_fake	aos	16	64	16	1	1	1.28118	0.00954556
8M	256	cuda_fake	aos	16	64	16	1	2	1.28042	0.00953986
8M	256	cuda_fake	aos	16	64	16	1	3	1.4149	0.0105418
8M	256	cuda_fake	aos	16	64	16	1	4	1.41495	0.0105422
8M	256	cuda_fake	aos	16	64	16	1	5	1.41565	0.0105474
8M	256	cuda_fake	aos	16	64	32	1	1	1.41662	0.0105546
8M	256	cuda_fake	aos	16	64	32	1	2	1.41608	0.0105506
8M	256	cuda_fake	aos	16	64	32	1	3	1.41635	0.0105526
8M	256	cuda_fake	aos	16	64	32	1	4	1.41631	0.0105523
8M	256	cuda_fake	aos	16	64	32	1	5	1.41711	0.0105583
8M	256	cuda_fake	aos	16	64	64	1	1	1.41943	0.0105756
8M	256	cuda_fake	aos	16	64	64	1	2	1.4225	0.0105985
8M	256	cuda_fake	aos	16	64	64	1	3	1.42128	0.0105893
8M	256	cuda_fake	aos	16	64	64	1	4	1.35087	0.0100648
8M	256	cuda_fake	aos	16	64	64	1	5	1.3512	0.0100672
8M	256	cuda_fake	aos	16	256	1	1	1	0.845333	0.00629822
8M	256	cuda_fake	aos	16	256	1	1	2	0.845734	0.00630121
8M	256	cuda_fake	aos	16	256	1	1	3	0.845124	0.00629666
8M	256	cuda_fake	aos	16	256	1	1	4	0.844931	0.00629523
8M	256	cuda_fake	aos	16	256	1	1	5	0.845438	0.006299
8M	256	cuda_fake	aos	16	256	2	1	1	1.34553	0.010025
8M	256	cuda_fake	aos	16	256	2	1	2	1.34557	0.0100253
8M	256	cuda_fake	aos	16	256	2	1	3	1.34581	0.0100271
8M	256	cuda_fake	aos	16	256	2	1	4	1.34598	0.0100284
8M	256	cuda_fake	aos	16	256	2	1	5	1.34527	0.010023
8M	256	cuda_fake	aos	16	256	4	1	1	1.34679	0.0100344
8M	256	cuda_fake	aos	16	256	4	1	2	1.34483	0.0100198
8M	256	cuda_fake	aos	16	256	4	1	3	1.34542	0.0100242
8M	256	cuda_fake	aos	16	256	4	1	4	1.34538	0.0100239
8M	256	cuda_fake	aos	16	256	4	1	5	1.34688	0.010035
8M	256	cuda_fake	aos	16	256	8	1	1	1.34652	0.0100324
8M	256	cuda_fake	aos	16	256	8	1	2	1.34751	0.0100397
8M	256	cuda_fake	aos	16	256	8	1	3	1.34649	0.0100321
8M	256	cuda_fake	aos	16	256	8	1	4	1.34642	0.0100316
8M	256	cuda_fake	aos	16	256	8	1	5	1.34656	0.0100326
8M	256	cuda_fake	aos	16	256	16	1	1	1.41422	0.0105367
8M	256	cuda_fake	aos	16	256	16	1	2	1.41463	0.0105398
8M	256	cuda_fake	aos	16	256	16	1	3	1.41505	0.0105429
8M	256	cuda_fake	aos	16	256	16	1	4	1.41537	0.0105453
8M	256	cuda_fake	aos	16	256	16	1	5	1.40905	0.0104982
8M	256	cuda_fake	aos	16	256	32	1	1	1.73971	0.0129618
8M	256	cuda_fake	aos	16	256	32	1	2	1.7387	0.0129543
8M	256	cuda_fake	aos	16	256	32	1	3	1.7394	0.0129595
8M	256	cuda_fake	aos	16	256	32	1	4	1.73932	0.012959
8M	256	cuda_fake	aos	16	256	32	1	5	1.73977	0.0129623
8M	256	cuda_fake	aos	16	256	64	1	1	1.41948	0.0105759
8M	256	cuda_fake	aos	16	256	64	1	2	1.41968	0.0105775
8M	256	cuda_fake	aos	16	256	64	1	3	1.42036	0.0105825
8M	256	cuda_fake	aos	16	256	64	1	4	1.41357	0.0105319
8M	256	cuda_fake	aos	16	256	64	1	5	1.41323	0.0105294
8M	256	cuda_fake	aos	16	1024	1	1	1	0.865155	0.00644591
8M	256	cuda_fake	aos	16	1024	1	1	2	0.865045	0.00644509
8M	256	cuda_fake	aos	16	1024	1	1	3	0.869261	0.0064765
8M	256	cuda_fake	aos	16	1024	1	1	4	0.864508	0.00644109
8M	256	cuda_fake	aos	16	1024	1	1	5	0.86556	0.00644892
8M	256	cuda_fake	aos	16	1024	2	1	1	1.37662	0.0102566
8M	256	cuda_fake	aos	16	1024	2	1	2	1.34182	0.00999731
8M	256	cuda_fake	aos	16	1024	2	1	3	1.33887	0.00997537
8M	256	cuda_fake	aos	16	1024	2	1	4	1.33755	0.00996552
8M	256	cuda_fake	aos	16	1024	2	1	5	1.33761	0.00996594
8M	256	cuda_fake	aos	16	1024	4	1	1	1.33721	0.00996301
8M	256	cuda_fake	aos	16	1024	4	1	2	1.34179	0.00999712
8M	256	cuda_fake	aos	16	1024	4	1	3	1.3375	0.00996517
8M	256	cuda_fake	aos	16	1024	4	1	4	1.34194	0.00999824
8M	256	cuda_fake	aos	16	1024	4	1	5	1.33705	0.00996183
8M	256	cuda_fake	aos	16	1024	8	1	1	1.33863	0.00997357
8M	256	cuda_fake	aos	16	1024	8	1	2	1.34042	0.00998689
8M	256	cuda_fake	aos	16	1024	8	1	3	1.33818	0.00997022
8M	256	cuda_fake	aos	16	1024	8	1	4	1.33812	0.00996976
8M	256	cuda_fake	aos	16	1024	8	1	5	1.33878	0.00997472
8M	256	cuda_fake	aos	16	1024	16	1	1	1.33794	0.00996839
8M	256	cuda_fake	aos	16	1024	16	1	2	1.33822	0.00997053
8M	256	cuda_fake	aos	16	1024	16	1	3	1.33989	0.00998299
8M	256	cuda_fake	aos	16	1024	16	1	4	1.34738	0.0100387
8M	256	cuda_fake	aos	16	1024	16	1	5	1.4094	0.0105008
8M	256	cuda_fake	aos	16	1024	32	1	1	1.41637	0.0105528
8M	256	cuda_fake	aos	16	1024	32	1	2	1.41757	0.0105617
8M	256	cuda_fake	aos	16	1024	32	1	3	1.41784	0.0105637
